,Experiment Name,Graph,Node Size,Edge Size,Dynamics,Method,Acc,TP,FP,loss,Run Time
0,albert_100_rps,albert,100,196,rps,corr,0.91,0.9540816326530612,0.0963399242742953,467.0,0.3531398773193359
1,albert_100_rps,albert,100,196,rps,mi,0.99,0.7959183673469388,0.0025241901556583,52.0,15.871885776519775
2,albert_100_rps,albert,100,196,rps,par_corr,0.96,0.8163265306122449,0.0376525031552376,215.0,2134.1837129592896
3,baselines,grid,100,180,gol,corr,1.0,0.9666666666666668,0.0016771488469601,14.0,0.3713750839233398
4,baselines,grid,100,180,gol,mi,1.0,0.9611111111111112,0.0016771488469601,15.0,17.5308358669281
5,baselines,grid,100,180,gol,par_corr,0.99,0.9666666666666668,0.010901467505241,58.0,2404.387002706528
6,baselines,grid,100,180,rps,corr,0.95,1.0,0.0559748427672956,267.0,0.3346052169799804
7,baselines,grid,100,180,rps,mi,1.0,1.0,0.0037735849056603,18.0,17.41754388809204
8,baselines,grid,100,180,rps,par_corr,1.0,1.0,0.0018867924528301,9.0,2399.980479001999
9,baselines,grid,100,180,forest_fire,corr,0.99,1.0,0.0052410901467505,25.0,0.4575982093811035
10,baselines,grid,100,180,forest_fire,mi,1.0,1.0,0.0,0.0,18.942416191101078
11,baselines,grid,100,180,forest_fire,par_corr,1.0,1.0,0.0035639412997903,17.0,2332.4899520874023
12,baselines,albert,100,196,voter,corr,0.94,0.8520408163265306,0.0593184686579722,311.0,0.4131429195404053
13,baselines,albert,100,196,voter,mi,0.97,0.7755102040816326,0.0254522507362221,165.0,16.429832220077515
14,baselines,albert,100,196,voter,par_corr,0.99,0.9540816326530612,0.0067311737484223,41.0,2171.558614969253
15,baselines,albert,100,196,gol,corr,0.98,0.6479591836734694,0.0086243163651661,110.0,0.4326598644256592
16,baselines,albert,100,196,gol,mi,0.98,0.4795918367346938,0.0012620950778291,108.0,17.143370866775513
17,baselines,albert,100,196,gol,par_corr,0.97,0.5357142857142857,0.0105174589819099,141.0,2153.280315876007
18,baselines,albert,100,196,sis,corr,1.0,0.9132653061224488,0.0002103491796381,18.0,0.409498929977417
19,baselines,albert,100,196,sis,mi,0.99,0.8724489795918368,0.0,25.0,17.747432231903076
20,baselines,albert,100,196,sis,par_corr,1.0,0.9948979591836736,0.0004206983592763,3.0,2166.101504802704
