Experiment Name,Graph,Node Size,Edge Size,Dynamics,Method,Acc,TP,FP,loss,Run Time
baselines,grid,100,180,cml3.5,corr,0.93,1.0,0.0689727463312369,329.0,0.34334826469421387
baselines,grid,100,180,cml3.5,mi,1.0,1.0,0.0008385744234800838,4.0,15.665751934051514
baselines,grid,100,180,cml3.5,par_corr,1.0,1.0,0.0,0.0,2416.1605458259583
baselines,erdos,50,186,cml3.5,corr,1.0,0.9946236559139785,0.004812319538017324,6.0,0.09294319152832031
baselines,erdos,50,186,cml3.5,mi,0.98,0.9731182795698925,0.015399422521655439,21.0,4.313223838806152
baselines,erdos,50,186,cml3.5,par_corr,1.0,0.9731182795698925,0.0009624639076034649,6.0,232.322998046875
baselines,erdos,50,186,cml3.8,corr,1.0,1.0,0.0,0.0,0.1004648208618164
baselines,erdos,50,186,cml3.8,mi,1.0,0.9946236559139785,0.0038498556304138597,5.0,5.132823944091797
baselines,erdos,50,186,cml3.8,par_corr,0.99,0.9731182795698925,0.004812319538017324,10.0,228.24484395980835
baselines,geom,30,84,cml3.5,corr,0.9,0.9880952380952381,0.1225071225071225,44.0,0.04304385185241699
baselines,geom,30,84,cml3.5,mi,0.98,0.9523809523809523,0.019943019943019943,11.0,1.580461025238037
baselines,geom,30,84,cml3.5,par_corr,0.99,0.9761904761904762,0.002849002849002849,3.0,37.77498126029968
baselines,geom,30,84,cml3.8,corr,1.0,1.0,0.002849002849002849,1.0,0.053254127502441406
baselines,geom,30,84,cml3.8,mi,1.0,0.9880952380952381,0.0,1.0,1.980375051498413
baselines,geom,30,84,cml3.8,par_corr,0.98,0.9642857142857143,0.011396011396011397,7.0,38.27185368537903
baselines,albert,100,196,cml3.8,granger,0.89,0.5153061224489796,0.09781236853176273,560.0,582.7385268211365
baselines,albert,100,196,cml3.5,granger,0.56,0.5969387755102041,0.44888514934791757,2213.0,581.708446264267
baselines,grid,100,180,cml3.8,granger,0.62,0.55,0.38427672955974845,1914.0,568.7810218334198
baselines,grid,100,180,cml3.5,granger,0.25,0.9555555555555556,0.789308176100629,3773.0,574.0165688991547
baselines,erdos,50,186,cml3.5,granger,0.51,0.2903225806451613,0.4619826756496631,612.0,144.42242407798767
baselines,erdos,50,186,cml3.8,granger,0.4,0.043010752688172046,0.5524542829643888,752.0,145.78652906417847
baselines,geom,30,84,cml3.5,granger,0.9,0.7023809523809523,0.05413105413105413,44.0,52.335777044296265
baselines,geom,30,84,cml3.8,granger,0.75,0.30952380952380953,0.15384615384615385,112.0,52.841683864593506
