Experiment Name,Graph,Node Size,Edge Size,Dynamics,Method,Acc,TP,FP,loss,Run Time

baselines,albert,30,56,sishetro,corr,1.0,1.0,0.002638522427440633,1.0,0.035585641860961914
baselines,albert,30,56,sishetro,mi,0.99,0.9107142857142857,0.0,5.0,1.3913609981536865
baselines,albert,30,56,sishetro,par_corr,1.0,1.0,0.0,0.0,32.72506499290466
baselines,erdos,30,67,sishetro,corr,1.0,1.0,0.0,0.0,0.04303884506225586
baselines,erdos,30,67,sishetro,mi,1.0,1.0,0.0,0.0,1.442349910736084
baselines,erdos,30,67,sishetro,par_corr,1.0,1.0,0.0,0.0,36.32139205932617
baselines,albert,30,56,cmlhetro,corr,0.84,0.8928571428571429,0.1741424802110818,72.0,0.04561305046081543
baselines,albert,30,56,cmlhetro,mi,0.9,0.75,0.07651715039577836,43.0,1.5207610130310059
baselines,albert,30,56,cmlhetro,par_corr,0.95,0.75,0.018469656992084433,21.0,35.59138607978821
baselines,erdos,30,67,cmlhetro,corr,0.76,0.9253731343283582,0.2798913043478261,108.0,0.047144174575805664
baselines,erdos,30,67,cmlhetro,mi,0.9,0.835820895522388,0.09782608695652174,47.0,1.411470890045166
baselines,erdos,30,67,cmlhetro,par_corr,0.96,0.8805970149253731,0.03260869565217391,20.0,36.19213104248047
