Experiment Name,Graph,Node Size,Edge Size,Dynamics,Method,Acc,TP,FP,loss,Run Time
grid_100_sis,grid,100,180,sis,permutation,1.0,1.0,0.0,0.0,1739.7344403266907
grid_100_sis,grid,100,180,sis,gradient,1.0,1.0,0.0,0.0,2179.0953397750854
grid_100_sis,grid,100,180,sis,deeplift,1.0,1.0,0.0,0.0,1730.8707818984985
grid_100_gol,grid,100,180,gol,permutation,0.9992,1.0,0.0008385744234800838,4.0,2418.7638189792633
grid_100_gol,grid,100,180,gol,gradient,0.9992,1.0,0.0008385744234800838,4.0,2848.870430469513
grid_100_gol,grid,100,180,gol,deeplift,0.9992,1.0,0.0008385744234800838,4.0,2407.9103586673737
grid_100_voter,grid,100,180,voter,permutation,1.0,1.0,0.0,0.0,2021.1399676799774
grid_100_voter,grid,100,180,voter,gradient,1.0,1.0,0.0,0.0,2447.356691598892
grid_100_voter,grid,100,180,voter,deeplift,1.0,1.0,0.0,0.0,2021.8425052165985
albert_100_sis,albert,100,196,sis,permutation,0.9944,0.8622448979591837,0.00021034917963819942,28.0,1835.5523912906647
albert_100_sis,albert,100,196,sis,gradient,0.9958,0.8979591836734694,0.00021034917963819942,21.0,2256.354182958603
albert_100_sis,albert,100,196,sis,deeplift,0.9956,0.8928571428571429,0.00021034917963819942,22.0,2008.4276163578033
albert_100_gol,albert,100,196,gol,permutation,0.9892,0.7551020408163265,0.0012620950778291964,54.0,2285.4539754390717
albert_100_gol,albert,100,196,gol,gradient,0.9922,0.8367346938775511,0.001472444257467396,39.0,2721.3723146915436
albert_100_gol,albert,100,196,gol,deeplift,0.9924,0.8367346938775511,0.0012620950778291964,38.0,2269.7165689468384
albert_100_voter,albert,100,196,voter,permutation,0.9918,0.826530612244898,0.001472444257467396,41.0,1284.617469549179
albert_100_voter,albert,100,196,voter,gradient,0.9928,0.8571428571428571,0.0016827934371055953,36.0,1702.0602900981903
albert_100_voter,albert,100,196,voter,deeplift,0.9926,0.8316326530612245,0.0008413967185527977,37.0,1272.7403531074524
erdos_50_sis,erdos,50,186,sis,permutation,0.9848,0.9354838709677419,0.006737247353224254,19.0,968.2728791236877
erdos_50_sis,erdos,50,186,sis,gradient,0.972,0.8709677419354839,0.010587102983638113,35.0,1219.3292548656464
erdos_50_sis,erdos,50,186,sis,deeplift,0.9696,0.8763440860215054,0.014436958614051972,38.0,1038.2897329330444
erdos_50_gol,erdos,50,186,gol,permutation,1.0,1.0,0.0,0.0,947.0316379070282
erdos_50_gol,erdos,50,186,gol,gradient,0.9984,1.0,0.0019249278152069298,2.0,1201.701103925705
erdos_50_gol,erdos,50,186,gol,deeplift,0.996,1.0,0.004812319538017324,5.0,988.1264653205872
erdos_50_voter,erdos,50,186,voter,permutation,1.0,1.0,0.0,0.0,745.2111282348633
erdos_50_voter,erdos,50,186,voter,gradient,0.9992,1.0,0.0009624639076034649,1.0,998.1825189590454
erdos_50_voter,erdos,50,186,voter,deeplift,0.9984,1.0,0.0019249278152069298,2.0,793.3603417873383
geom_30_sis,geom,30,84,sis,permutation,0.9911111111111112,0.9642857142857143,0.002849002849002849,4.0,517.0609471797943
geom_30_sis,geom,30,84,sis,gradient,0.9911111111111112,0.9642857142857143,0.002849002849002849,4.0,671.854282617569
geom_30_sis,geom,30,84,sis,deeplift,0.9911111111111112,1.0,0.011396011396011397,4.0,548.8901278972626
geom_30_gol,geom,30,84,gol,permutation,1.0,1.0,0.0,0.0,602.6917090415955
geom_30_gol,geom,30,84,gol,gradient,1.0,1.0,0.0,0.0,760.3391489982605
geom_30_gol,geom,30,84,gol,deeplift,1.0,1.0,0.0,0.0,634.5096497535706
geom_30_voter,geom,30,84,voter,permutation,1.0,1.0,0.0,0.0,704.3361401557922
geom_30_voter,geom,30,84,voter,gradient,1.0,1.0,0.0,0.0,861.4377698898315
geom_30_voter,geom,30,84,voter,deeplift,1.0,1.0,0.0,0.0,738.906875371933
geom_30_rps,geom,30,84,rps,permutation,1.0,1.0,0.0,0.0,
geom_30_rps,geom,30,84,rps,gradient,1.0,1.0,0.0,0.0,
geom_30_rps,geom,30,84,rps,deeplift,1.0,1.0,0.0,0.0,
geom_30_forest_fire,geom,30,84,forest_fire,permutation,0.9977777777777778,1.0,0.002849002849002849,1.0,
geom_30_forest_fire,geom,30,84,forest_fire,gradient,0.9888888888888889,0.9523809523809523,0.002849002849002849,5.0,
geom_30_forest_fire,geom,30,84,forest_fire,deeplift,0.9711111111111111,0.8809523809523809,0.008547008547008548,13.0,
erdos_50_rps,erdos,50,186,rps,permutation,0.9984,1.0,0.0019249278152069298,2.0,
erdos_50_rps,erdos,50,186,rps,gradient,1.0,1.0,0.0,0.0,
erdos_50_rps,erdos,50,186,rps,deeplift,1.0,1.0,0.0,0.0,
erdos_50_forest_fire,erdos,50,186,forest_fire,permutation,0.9552,0.8440860215053764,0.02598652550529355,56.0,
erdos_50_forest_fire,erdos,50,186,forest_fire,gradient,0.9568,0.8602150537634409,0.026948989412897015,54.0,
erdos_50_forest_fire,erdos,50,186,forest_fire,deeplift,0.9184,0.8172043010752689,0.06544754571703561,102.0,
grid_100_rps,grid,100,180,rps,permutation,0.9998,1.0,0.00020964360587002095,1.0,
grid_100_rps,grid,100,180,rps,gradient,0.9998,1.0,0.00020964360587002095,1.0,
grid_100_rps,grid,100,180,rps,deeplift,0.9998,1.0,0.00020964360587002095,1.0,
grid_100_forest_fire,grid,100,180,forest_fire,permutation,1.0,1.0,0.0,0.0,
grid_100_forest_fire,grid,100,180,forest_fire,gradient,1.0,1.0,0.0,0.0,
grid_100_forest_fire,grid,100,180,forest_fire,deeplift,1.0,1.0,0.0,0.0,
albert_100_rps,albert,100,196,rps,permutation,0.9984,0.9846938775510204,0.001051745898190997,8.0,
albert_100_rps,albert,100,196,rps,gradient,0.9976,0.9795918367346939,0.0016827934371055953,12.0,
albert_100_rps,albert,100,196,rps,deeplift,0.9978,0.9744897959183674,0.0012620950778291964,11.0,
albert_100_forest_fire,albert,100,196,forest_fire,permutation,0.9986,0.9642857142857143,0.0,7.0,
albert_100_forest_fire,albert,100,196,forest_fire,gradient,0.9982,0.9540816326530612,0.0,9.0,
