,Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
0,sis_50K_albert_100_MLP_input_change5,albert,50K,100,196,sis,input_change,MLP,0.9822,0.7397959183673469,0.007910074937552,0.2602040816326531,89.0,0.62,1582.7121646404266,100.0,5.0
1,sis_50K_albert_100_MLP_gradient_based5,albert,50K,100,196,sis,gradient_based,MLP,0.9832,0.7959183673469388,0.0091590341382181,0.2040816326530612,84.0,0.62,5199.093134880066,100.0,5.0
2,sis_50K_albert_100_MLP_deeplift5,albert,50K,100,196,sis,deeplift,MLP,0.981,0.7908163265306123,0.011240632805995,0.2091836734693877,95.0,0.62,1186.6719410419464,100.0,5.0
3,voter_50K_geom_50_MLP_input_change5,geom,50K,50,239,voter,input_change,MLP,0.9992,1.0,0.0009891196834817,0.0,1.0,0.81,947.6171963214874,100.0,5.0
4,voter_50K_geom_50_MLP_gradient_based5,geom,50K,50,239,voter,gradient_based,MLP,0.9936,0.99581589958159,0.0069238377843719,0.00418410041841,8.0,0.81,1953.204754590988,100.0,5.0
5,voter_50K_geom_50_MLP_deeplift5,geom,50K,50,239,voter,deeplift,MLP,0.9936,0.99581589958159,0.0069238377843719,0.00418410041841,8.0,0.81,961.5386002063752,100.0,5.0
6,voter_50K_geom_10_MLP_input_change5,geom,50K,10,8,voter,input_change,MLP,0.98,1.0,0.0238095238095238,0.0,1.0,0.78,289.33471155166626,100.0,5.0
7,voter_50K_geom_10_MLP_gradient_based5,geom,50K,10,8,voter,gradient_based,MLP,0.98,1.0,0.0238095238095238,0.0,1.0,0.78,340.7766399383545,100.0,5.0
8,voter_50K_geom_10_MLP_deeplift5,geom,50K,10,8,voter,deeplift,MLP,0.98,1.0,0.0238095238095238,0.0,1.0,0.78,301.15507221221924,100.0,5.0
9,voter_50K_grid_25_MLP_input_change5,grid,50K,30,40,voter,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.81,642.108549118042,100.0,5.0
