Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
cml_50K_3.8_albert_30_MLP_input_change,albert,50K,30,56,cml 3.8,input_change,MLP,0.9444444444444444,0.6607142857142857,0.015228426395939087,0.3392857142857143,25.0,0.01,1600.9406080245972,50,
cml_50K_3.8_albert_30_MLP_gradient_based,albert,50K,30,56,cml 3.8,gradient_based,MLP,0.9622222222222222,0.7321428571428571,0.005076142131979695,0.26785714285714285,17.0,0.01,1787.139858007431,50,
cml_50K_3.8_albert_30_MLP_deeplift,albert,50K,30,56,cml 3.8,deeplift,MLP,0.9577777777777777,0.7321428571428571,0.01015228426395939,0.26785714285714285,19.0,0.01,1601.272320508957,50,
cml_50K_3.8_erdos_30_MLP_input_change,erdos,50K,30,67,cml 3.8,input_change,MLP,0.9711111111111111,0.8208955223880597,0.0026109660574412533,0.1791044776119403,13.0,0.01,1646.000604391098,50,
cml_50K_3.8_erdos_30_MLP_gradient_based,erdos,50K,30,67,cml 3.8,gradient_based,MLP,0.9488888888888889,0.7164179104477612,0.010443864229765013,0.2835820895522388,23.0,0.01,1826.468997478485,50,
cml_50K_3.8_erdos_30_MLP_deeplift,erdos,50K,30,67,cml 3.8,deeplift,MLP,0.9488888888888889,0.7164179104477612,0.010443864229765013,0.2835820895522388,23.0,0.01,1646.282327413559,50,
sis_50K_albert_30_MLP_input_change5,albert,50K,30,56,sis,input_change,MLP,0.9933333333333333,0.9464285714285714,0.0,0.05357142857142857,3.0,0.7,910.8677222728729,50,5
sis_50K_albert_30_MLP_gradient_based5,albert,50K,30,56,sis,gradient_based,MLP,0.9266666666666666,0.875,0.06598984771573604,0.125,33.0,0.7,1157.628720998764,50,5
sis_50K_albert_30_MLP_deeplift5,albert,50K,30,56,sis,deeplift,MLP,0.9222222222222223,0.8392857142857143,0.06598984771573604,0.16071428571428573,35.0,0.7,936.5664367675781,50,5
sis_50K_erdos_30_MLP_input_change5,erdos,50K,30,67,sis,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.66,747.5998039245605,50,5
sis_50K_erdos_30_MLP_gradient_based5,erdos,50K,30,67,sis,gradient_based,MLP,0.9844444444444445,1.0,0.018276762402088774,0.0,7.0,0.66,987.963785648346,50,5
sis_50K_erdos_30_MLP_deeplift5,erdos,50K,30,67,sis,deeplift,MLP,0.9866666666666667,1.0,0.015665796344647518,0.0,6.0,0.66,774.9306676387787,50,5

sis_50K_albert_30_MLP_input_change5,albert,50K,30,56,sis,input_change,MLP,0.9955555555555555,0.9821428571428571,0.0025380710659898475,0.017857142857142856,2.0,0.7,1115.9821963310242,100,5
sis_50K_albert_30_MLP_gradient_based5,albert,50K,30,56,sis,gradient_based,MLP,0.9444444444444444,0.8035714285714286,0.03553299492385787,0.19642857142857142,25.0,0.7,1279.6763291358948,100,5
sis_50K_albert_30_MLP_deeplift5,albert,50K,30,56,sis,deeplift,MLP,0.9288888888888889,0.7678571428571429,0.048223350253807105,0.23214285714285715,32.0,0.7,1150.7753269672394,100,5
sis_50K_erdos_30_MLP_input_change5,erdos,50K,30,67,sis,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.66,806.7695093154907,100,5
sis_50K_erdos_30_MLP_gradient_based5,erdos,50K,30,67,sis,gradient_based,MLP,0.9955555555555555,0.9850746268656716,0.0026109660574412533,0.014925373134328358,2.0,0.66,964.5212874412537,100,5
sis_50K_erdos_30_MLP_deeplift5,erdos,50K,30,67,sis,deeplift,MLP,0.9911111111111112,1.0,0.010443864229765013,0.0,4.0,0.66,843.511157989502,100,5
cml_50K_3.8_albert_30_MLP_input_change,albert,50K,30,56,cml 3.8,input_change,MLP,0.9511111111111111,0.7142857142857143,0.015228426395939087,0.2857142857142857,22.0,0.01,1307.6839308738708,100,
cml_50K_3.8_albert_30_MLP_gradient_based,albert,50K,30,56,cml 3.8,gradient_based,MLP,0.9533333333333334,0.6964285714285714,0.01015228426395939,0.30357142857142855,21.0,0.01,1468.5029661655426,100,
cml_50K_3.8_albert_30_MLP_deeplift,albert,50K,30,56,cml 3.8,deeplift,MLP,0.9555555555555556,0.7321428571428571,0.012690355329949238,0.26785714285714285,20.0,0.01,1311.8711895942688,100,
cml_50K_3.8_erdos_30_MLP_input_change,erdos,50K,30,67,cml 3.8,input_change,MLP,0.9688888888888889,0.7910447761194029,0.0,0.208955223880597,14.0,0.01,1270.8758625984192,100,
cml_50K_3.8_erdos_30_MLP_gradient_based,erdos,50K,30,67,cml 3.8,gradient_based,MLP,0.9444444444444444,0.7014925373134329,0.013054830287206266,0.29850746268656714,25.0,0.01,1426.920918226242,100,
cml_50K_3.8_erdos_30_MLP_deeplift,erdos,50K,30,67,cml 3.8,deeplift,MLP,0.9644444444444444,0.8059701492537313,0.007832898172323759,0.19402985074626866,16.0,0.01,1275.1026935577393,100,
