Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
cml_50K_3.8_albert_100_MLP_input_change,albert,50K,100,196,cml 3.8,input_change,MLP,0.9904,0.7959183673469388,0.0016652789342214821,0.20408163265306123,48.0,0.03,3482.6811685562134,100,
cml_50K_3.5_albert_100_MLP_input_change,albert,50K,100,196,cml 3.5,input_change,MLP,0.9904,0.8112244897959183,0.002289758534554538,0.18877551020408162,48.0,0.01,5111.1089408397675,100,
cml_50K_3.5_erdos_50_MLP_input_change,erdos,50K,50,186,cml 3.5,input_change,MLP,0.9888,0.9731182795698925,0.008458646616541353,0.026881720430107527,14.0,0.01,2259.395889520645,100,
cml_50K_3.8_erdos_50_MLP_input_change,erdos,50K,50,186,cml 3.8,input_change,MLP,0.9888,0.9516129032258065,0.004699248120300752,0.04838709677419355,14.0,0.04,1683.5476820468903,100,
cml_50K_3.5_geom_30_MLP_input_change,geom,50K,30,84,cml 3.5,input_change,MLP,0.9844444444444445,0.9642857142857143,0.01092896174863388,0.03571428571428571,7.0,0.01,1934.60116481781,100,
cml_50K_3.8_geom_30_MLP_input_change,geom,50K,30,84,cml 3.8,input_change,MLP,0.9733333333333334,0.9285714285714286,0.01639344262295082,0.07142857142857142,12.0,0.03,764.3387787342072,100,
cml_50K_3.5_grid_100_MLP_input_change,grid,50K,100,180,cml 3.5,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.01,5603.86872959137,100,
forest_fire_50K_erdos_50_MLP_input_change15,erdos,50K,50,186,forest_fire,input_change,MLP,0.9408,0.8602150537634409,0.045112781954887216,0.13978494623655913,74.0,0.47,1003.9304502010345,100,15
forest_fire_50K_geom_30_MLP_input_change5,geom,50K,30,84,forest_fire,input_change,MLP,0.9977777777777778,0.9880952380952381,0.0,0.011904761904761904,1.0,0.5,585.2329299449921,100,5
gol_50K_erdos_50_MLP_input_change15,erdos,50K,50,186,gol,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.7,948.1034021377563,100,15
gol_50K_albert_100_MLP_input_change30,albert,50K,100,196,gol,input_change,MLP,0.989,0.75,0.0012489592006661116,0.25,55.0,0.68,2294.90953373909,100,30
